cluster_id	sequence_id	start	end	tax_id	database	merged	length	pul_length_sum	percentage_in_puls	blast_status	domain	phylum	class	order	family	genus	species
19097_PUL0160	NZ_JQNQ01000001	1814119	1877793	1250278	puldb_dbcan	merged	4212161	110825	2.631072269079933	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Salegentibacter	Salegentibacter sp000745315
19098	NZ_JQNQ01000001	2147638	2164970		puldb		4212161	110825	2.631072269079933	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Salegentibacter	Salegentibacter sp000745315
19099_PUL0165	NZ_JQNQ01000001	2250021	2279840	1250278	puldb_dbcan	merged	4212161	110825	2.631072269079933	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Salegentibacter	Salegentibacter sp000745315
19759	JPOL01000002	1841012	1857426		puldb		3672893	56127	1.5281414405483633	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Leeuwenhoekiella	Leeuwenhoekiella sp000733945
19760	JPOL01000002	3220310	3260023		puldb		3672893	56127	1.5281414405483633	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Leeuwenhoekiella	Leeuwenhoekiella sp000733945
19761	JPOL01000003	83824	112265		puldb		361944	28441	7.857845412550008	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Leeuwenhoekiella	Leeuwenhoekiella sp000733945
21119	FP476056	174877	188546		puldb		5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21120	FP476056	214864	230540		puldb		5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21121_21122_PUL0132	FP476056	230679	268488	63186	puldb_dbcan	merged	5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21123_PUL0318_21124	FP476056	275509	307872	63186	puldb_dbcan_puldb	merged	5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21125	FP476056	340985	350666		puldb		5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21126_21127	FP476056	398989	466536		puldb	merged	5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21128	FP476056	472111	481243		puldb		5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21129_21130	FP476056	484942	508227		puldb	merged	5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21131	FP476056	576319	592323		puldb		5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21132	FP476056	1085930	1101326		puldb		5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21133	FP476056	1190929	1208012		puldb		5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21134	FP476056	1223179	1246806		puldb		5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21135_21136	FP476056	1250098	1281471		puldb	merged	5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21137	FP476056	1479049	1491997		puldb		5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21138	FP476056	1769357	1777496		puldb		5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21139	FP476056	2420111	2441113		puldb		5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21140	FP476056	2504916	2518507		puldb		5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21143	FP476056	2610665	2619786		puldb		5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21144	FP476056	2681750	2690170		puldb		5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21145	FP476056	2695784	2707616		puldb		5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21146	FP476056	2875504	2888080		puldb		5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21147_PUL0151	FP476056	3065129	3084329	63186	puldb_dbcan	merged	5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21148	FP476056	3125872	3141960		puldb		5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21149	FP476056	3552451	3560830		puldb		5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21150	FP476056	3603808	3617045		puldb		5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21151	FP476056	3848117	3864900		puldb		5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21152_21153	FP476056	3938479	4000085		puldb	merged	5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21154_21155	FP476056	4018270	4054164		puldb	merged	5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21156_21157	FP476056	4070820	4102585		puldb	merged	5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21158_PUL0315	FP476056	4125495	4143881	63186	puldb_dbcan	merged	5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
21159	FP476056	4157067	4186737		puldb		5521712	929780	16.838618167698712	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans
